"CONTEXT_PARTNER_ID"|"PARTNER_PRODUCT_CODE"|"PARTNER_CAT_CODE"|"EAN"|"MANUFACTURER"|"MANUFACTURER_PART_NUMBER"|"PRODUCT_NAME"|"PRODUCT_DESCRIPTION"|"CATEGORY_LEVEL_1"|"CATEGORY_LEVEL_2"|"CATEGORY_LEVEL_3"|"COUNTRY"|"INVOICE_DATE"|"SALES_QUANTITY"|"SALES_REVENUE"|"TAX_INCLUDED"|"CURRENCY"|"CUSTOMER_COUNTRY"|"CUSTOMER_POSTCODE"|"PARTNER_CUSTOMER_CODE"|"CUSTOMER_NAME"|"CUSTOMER_ADDRESS"|"CUSTOMER_CITY"|"CUSTOMER_CODE"|"CUSTOMER_VAT_NUM"|"INVOICE_NUMBER"|"CUSTOMER_SEGMENTATION"|"VENDOR_PROGRAM_CODE"|"BUNDLE"|"TBA"
"TR3008"|"JB.JBLGO4PUR"|"5402"|""|"JBL"|"JB.JBLGO4PUR"|"Go4, Bluetooth Hoparlor, IP67, Mor"|"Go4, Bluetooth Hoparlor, IP67, Mor"|"Bluetooth Hoparlor"|"Bluetooth Hoparlor"|""|"TR"|"2025-03-17"|"3"|"4557.51"|"No"|"TRY"|"TR"|""|""|""|""|"ISTANBUL"|""|""|"20250317"|"SMB"|""|"No"|""
"TR3008"|"PMM30E-0RY03STE1"|"0102"|""|"DYNABOOK"|"PMM30E-0RY03STE1"|"Tecra A40-K  I7-1360P-64GB-2TB 4G Win11P"|"Tecra A40-K  I7-1360P-64GB-2TB 4G Win11P"|"Notebook"|"Intel"|""|"TR"|"2025-03-17"|"1"|"63531.02"|"No"|"TRY"|"TR"|""|""|""|""|"ISTANBUL"|""|""|"20250317"|"SMB"|""|"No"|""
"TR3008"|"MLPG3TU/A"|"0416"|""|"APPLE"|"MLPG3TU/A"|"iPhone 13 128GB Starlight"|"iPhone 13 128GB Starlight"|"Akilli Telefon"|"IPHONE"|""|"TR"|"2025-03-17"|"4"|"112000"|"No"|"TRY"|"TR"|""|""|""|""|"KUTAHYA"|""|""|"20250317"|"SMB"|""|"No"|""
"TR3008"|"BS-200RD"|"5402"|""|"AIWA"|"BS-200RD"|"Aiwa BS-200RD Bluetooth Hoparlor Kirmizi"|"Aiwa BS-200RD Bluetooth Hoparlor Kirmizi"|"Bluetooth Hoparlor"|"Bluetooth Hoparlor"|""|"TR"|"2025-03-17"|"1"|"549.17"|"No"|"TRY"|"TR"|""|""|""|""|"KOCAELI"|""|""|"20250317"|"SMB"|""|"No"|""
"TR3008"|"S6EVW-N744"|"5702"|""|"SKULLCANDY"|"S6EVW-N744"|"Skullcandy Crusher Evo Bt Kulaklik Chill"|"Skullcandy Crusher Evo Bt Kulaklik Chill"|"Kablosuz Kulaklik"|"Kablosuz Kulaklik"|""|"TR"|"2025-03-17"|"1"|"8499.17"|"No"|"TRY"|"TR"|""|""|""|""|"KOCAELI"|""|""|"20250317"|"SMB"|""|"No"|""
"TR3008"|"MLPG3TU/A"|"0416"|""|"APPLE"|"MLPG3TU/A"|"iPhone 13 128GB Starlight"|"iPhone 13 128GB Starlight"|"Akilli Telefon"|"IPHONE"|""|"TR"|"2025-03-17"|"1"|"28000"|"No"|"TRY"|"TR"|""|""|""|""|"CANAKKALE"|""|""|"20250317"|"SMB"|""|"No"|""
"TR3008"|"MTP43TU/A"|"0416"|""|"APPLE"|"MTP43TU/A"|"IPHONE 15 BLUE 128GB-TUR"|"IPHONE 15 BLUE 128GB-TUR"|"Akilli Telefon"|"IPHONE"|""|"TR"|"2025-03-17"|"1"|"42916.66"|"No"|"TRY"|"TR"|""|""|""|""|"CANAKKALE"|""|""|"20250317"|"SMB"|""|"No"|""
"TR3008"|"BHR6606GL"|"5702"|""|"XIAOMI"|"BHR6606GL"|"Xiaomi Redmi Buds Essential Siyah"|"Xiaomi Redmi Buds Essential Siyah"|"Kablosuz Kulaklik"|"Kablosuz Kulaklik"|""|"TR"|"2025-03-17"|"3"|"2247.51"|"No"|"TRY"|"TR"|""|""|""|""|"KOCAELI"|""|""|"20250317"|"SMB"|""|"No"|""
"TR3008"|"JB.JBLT520BTBLKEU"|"5702"|""|"JBL"|"JB.JBLT520BTBLKEU"|"Tune 520BT Multi Connect Wireless Siyah"|"Tune 520BT Multi Connect Wireless Siyah"|"Kablosuz Kulaklik"|"Kablosuz Kulaklik"|""|"TR"|"2025-03-17"|"8"|"10512.48"|"No"|"TRY"|"TR"|""|""|""|""|"ANKARA"|""|""|"20250317"|"SMB"|""|"No"|""
"TR3008"|"MYNK3TU/A"|"0416"|""|"APPLE"|"MYNK3TU/A"|"iPhone 16 Pro 256GB Desert Titanium"|"iPhone 16 Pro 256GB Desert Titanium"|"Akilli Telefon"|"IPHONE"|""|"TR"|"2025-03-17"|"6"|"407749.98"|"No"|"TRY"|"TR"|""|""|""|""|"ISTANBUL"|""|""|"20250317"|"SMB"|""|"No"|""
"TR3008"|"MYWX3TU/A"|"0416"|""|"APPLE"|"MYWX3TU/A"|"iPhone 16 Pro Max 256GB Desert Titanium"|"iPhone 16 Pro Max 256GB Desert Titanium"|"Akilli Telefon"|"IPHONE"|""|"TR"|"2025-03-17"|"4"|"308333.32"|"No"|"TRY"|"TR"|""|""|""|""|"ISTANBUL"|""|""|"20250317"|"SMB"|""|"No"|""
"TR3008"|"MLPG3TU/A"|"0416"|""|"APPLE"|"MLPG3TU/A"|"iPhone 13 128GB Starlight"|"iPhone 13 128GB Starlight"|"Akilli Telefon"|"IPHONE"|""|"TR"|"2025-03-17"|"50"|"1400000"|"No"|"TRY"|"TR"|""|""|""|""|"ISTANBUL"|""|""|"20250317"|"SMB"|""|"No"|""
"TR3008"|"JB.JBLT520BTPUREU"|"5702"|""|"JBL"|"JB.JBLT520BTPUREU"|"Tune 520BT Multi Connect Wireless Mor"|"Tune 520BT Multi Connect Wireless Mor"|"Kablosuz Kulaklik"|"Kablosuz Kulaklik"|""|"TR"|"2025-03-17"|"2"|"2771.7"|"No"|"TRY"|"TR"|""|""|""|""|"ISTANBUL"|""|""|"20250317"|"SMB"|""|"No"|""
"TR3008"|"JB.JBLT520BTBLKEU"|"5702"|""|"JBL"|"JB.JBLT520BTBLKEU"|"Tune 520BT Multi Connect Wireless Siyah"|"Tune 520BT Multi Connect Wireless Siyah"|"Kablosuz Kulaklik"|"Kablosuz Kulaklik"|""|"TR"|"2025-03-17"|"5"|"6929.25"|"No"|"TRY"|"TR"|""|""|""|""|"ISTANBUL"|""|""|"20250317"|"SMB"|""|"No"|""
