"CONTEXT_PARTNER_ID"|"PARTNER_PRODUCT_CODE"|"PARTNER_CAT_CODE"|"EAN"|"MANUFACTURER"|"MANUFACTURER_PART_NUMBER"|"PRODUCT_NAME"|"PRODUCT_DESCRIPTION"|"CATEGORY_LEVEL_1"|"CATEGORY_LEVEL_2"|"CATEGORY_LEVEL_3"|"COUNTRY"|"INVOICE_DATE"|"SALES_QUANTITY"|"SALES_REVENUE"|"TAX_INCLUDED"|"CURRENCY"|"CUSTOMER_COUNTRY"|"CUSTOMER_POSTCODE"|"PARTNER_CUSTOMER_CODE"|"CUSTOMER_NAME"|"CUSTOMER_ADDRESS"|"CUSTOMER_CITY"|"CUSTOMER_CODE"|"CUSTOMER_VAT_NUM"|"INVOICE_NUMBER"|"CUSTOMER_SEGMENTATION"|"VENDOR_PROGRAM_CODE"|"BUNDLE"|"TBA"
"TR3013"|"MXEF3TU/A"|"3701"|""|"APPLE"|"MXEF3TU/A"|"APPLE WATCH SE 40 ST AL ST SB -S/M GPS"|"APPLE WATCH SE 40 ST AL ST SB -S/M GPS"|"Akilli Saatler"|"Akilli Saatler"|""|"TR"|"2025-03-17"|"4"|"37411.56"|"No"|"TRY"|"TR"|""|""|""|""|"KONYA"|""|""|"20250317"|"Retail"|""|"No"|""
"TR3013"|"MXEF3TU/A"|"3701"|""|"APPLE"|"MXEF3TU/A"|"APPLE WATCH SE 40 ST AL ST SB -S/M GPS"|"APPLE WATCH SE 40 ST AL ST SB -S/M GPS"|"Akilli Saatler"|"Akilli Saatler"|""|"TR"|"2025-03-17"|"13"|"121302.69"|"No"|"TRY"|"TR"|""|""|""|""|"ANTALYA"|""|""|"20250317"|"Retail"|""|"No"|""
"TR3013"|"MXEF3TU/A"|"3701"|""|"APPLE"|"MXEF3TU/A"|"APPLE WATCH SE 40 ST AL ST SB -S/M GPS"|"APPLE WATCH SE 40 ST AL ST SB -S/M GPS"|"Akilli Saatler"|"Akilli Saatler"|""|"TR"|"2025-03-17"|"2"|"18705.78"|"No"|"TRY"|"TR"|""|""|""|""|"BOLU"|""|""|"20250317"|"Retail"|""|"No"|""
"TR3013"|"MXEF3TU/A"|"3701"|""|"APPLE"|"MXEF3TU/A"|"APPLE WATCH SE 40 ST AL ST SB -S/M GPS"|"APPLE WATCH SE 40 ST AL ST SB -S/M GPS"|"Akilli Saatler"|"Akilli Saatler"|""|"TR"|"2025-03-17"|"4"|"37411.56"|"No"|"TRY"|"TR"|""|""|""|""|"MUGLA"|""|""|"20250317"|"Retail"|""|"No"|""
"TR3013"|"MLPG3TU/A"|"0416"|""|"APPLE"|"MLPG3TU/A"|"iPhone 13 128GB Starlight"|"iPhone 13 128GB Starlight"|"Akilli Telefon"|"IPHONE"|""|"TR"|"2025-03-17"|"386"|"12735714.88"|"No"|"TRY"|"TR"|""|""|""|""|"ANKARA"|""|""|"20250317"|"Retail"|""|"No"|""
"TR3013"|"MLPG3TU/A"|"0416"|""|"APPLE"|"MLPG3TU/A"|"iPhone 13 128GB Starlight"|"iPhone 13 128GB Starlight"|"Akilli Telefon"|"IPHONE"|""|"TR"|"2025-03-17"|"51"|"1682698.08"|"No"|"TRY"|"TR"|""|""|""|""|"SIVAS"|""|""|"20250317"|"Retail"|""|"No"|""
"TR3013"|"QQ2-00006"|"0311"|""|"MICROSOFT"|"QQ2-00006"|"Microsoft 365 Bireysel-Elektronik Lisans"|"Microsoft 365 Bireysel-Elektronik Lisans"|"Microsoft ESD"|"Microsoft ESD"|""|"TR"|"2025-03-17"|"1"|"2161.03"|"No"|"TRY"|"TR"|""|""|""|""|"KOCAELI"|""|""|"20250317"|"Corparate Reseller"|""|"No"|""
"TR3013"|"MWWQ3TU/A"|"3701"|""|"APPLE"|"MWWQ3TU/A"|"APPLE WATCH 10 46 JB AL BK SB -M/L GPS"|"APPLE WATCH 10 46 JB AL BK SB -M/L GPS"|"Akilli Saatler"|"Akilli Saatler"|""|"TR"|"2025-03-17"|"14"|"233152.28"|"No"|"TRY"|"TR"|""|""|""|""|"ANKARA"|""|""|"20250317"|"Retail"|""|"No"|""
"TR3013"|"6GQ-00086"|"0311"|""|"MICROSOFT"|"6GQ-00086"|"Microsoft 365 Aile - Elektronik Lisans"|"Microsoft 365 Aile - Elektronik Lisans"|"Microsoft ESD"|"Microsoft ESD"|""|"TR"|"2025-03-17"|"1"|"2662.87"|"No"|"TRY"|"TR"|""|""|""|""|"BALIKESIR"|""|""|"20250317"|"SMB"|""|"No"|""
"TR3013"|"MXEV3TU/A"|"3701"|""|"APPLE"|"MXEV3TU/A"|"APPLE WATCH SE 44 ST AL ST SB -M/L GPS"|"APPLE WATCH SE 44 ST AL ST SB -M/L GPS"|"Akilli Saatler"|"Akilli Saatler"|""|"TR"|"2025-03-17"|"2"|"20406.46"|"No"|"TRY"|"TR"|""|""|""|""|"KAYSERI"|""|""|"20250317"|"Retail"|""|"No"|""
