"CONTEXT_PARTNER_ID"|"PARTNER_PRODUCT_CODE"|"PARTNER_CAT_CODE"|"EAN"|"MANUFACTURER"|"MANUFACTURER_PART_NUMBER"|"PRODUCT_NAME"|"PRODUCT_DESCRIPTION"|"CATEGORY_LEVEL_1"|"CATEGORY_LEVEL_2"|"CATEGORY_LEVEL_3"|"COUNTRY"|"INVOICE_DATE"|"SALES_QUANTITY"|"SALES_REVENUE"|"TAX_INCLUDED"|"CURRENCY"|"CUSTOMER_COUNTRY"|"CUSTOMER_POSTCODE"|"PARTNER_CUSTOMER_CODE"|"CUSTOMER_NAME"|"CUSTOMER_ADDRESS"|"CUSTOMER_CITY"|"CUSTOMER_CODE"|"CUSTOMER_VAT_NUM"|"INVOICE_NUMBER"|"CUSTOMER_SEGMENTATION"|"VENDOR_PROGRAM_CODE"|"BUNDLE"|"TBA"
"TR3012"|"H06-00402-DP0-FV00"|"0901"|""|"HCS"|"H06-00402-DP0-FV00"|"Cat6 U/UTP LS0H Kablo 500m Gri"|"Cat6 U/UTP LS0H Kablo 500m Gri"|"Kablolar"|"UTP Kablo"|""|"TR"|"2025-03-17"|"30"|"175947.3"|"No"|"TRY"|"TR"|""|""|""|""|"ISTANBUL"|""|""|"20250317"|"SMB"|""|"No"|""
"TR3012"|"H06-00402-DP9-FV00"|"0901"|""|"HCS"|"H06-00402-DP9-FV00"|"Cat6 U/UTP LS0H Kablo 500m Mor"|"Cat6 U/UTP LS0H Kablo 500m Mor"|"Kablolar"|"UTP Kablo"|""|"TR"|"2025-03-17"|"3"|"17594.73"|"No"|"TRY"|"TR"|""|""|""|""|"ISTANBUL"|""|""|"20250317"|"SMB"|""|"No"|""
"TR3012"|"H06-00402-DP3-FV00"|"0901"|""|"HCS"|"H06-00402-DP3-FV00"|"Cat6 U/UTP LS0H Kablo 500m Yesil"|"Cat6 U/UTP LS0H Kablo 500m Yesil"|"Kablolar"|"UTP Kablo"|""|"TR"|"2025-03-17"|"2"|"11729.82"|"No"|"TRY"|"TR"|""|""|""|""|"ISTANBUL"|""|""|"20250317"|"SMB"|""|"No"|""
"TR3012"|"H06-00402-DP1-FV00"|"0901"|""|"HCS"|"H06-00402-DP1-FV00"|"Cat6 U/UTP LSOH Kablo 500m Mavi"|"Cat6 U/UTP LSOH Kablo 500m Mavi"|"Kablolar"|"UTP Kablo"|""|"TR"|"2025-03-17"|"14"|"80275.94"|"No"|"TRY"|"TR"|""|""|""|""|"ISTANBUL"|""|""|"20250317"|"SMB"|""|"No"|""
"TR3012"|"P00-02450-1U"|"0902"|""|"HCS"|"P00-02450-1U"|"24 Port Keystone Jack UTP Panel Bos"|"24 Port Keystone Jack UTP Panel Bos"|"Patch Panel"|"UTP Patch Panel"|""|"TR"|"2025-03-17"|"26"|"8760.7"|"No"|"TRY"|"TR"|""|""|""|""|"ISTANBUL"|""|""|"20250317"|"SMB"|""|"No"|""
"TR3012"|"PFO-10001-1U"|"0902"|""|"HCS"|"PFO-10001-1U"|"F/O Moduler Patch Panel Bos 1U"|"F/O Moduler Patch Panel Bos 1U"|"Patch Panel"|"Fiber Optik Patch Pa"|""|"TR"|"2025-03-17"|"5"|"4618.61"|"No"|"TRY"|"TR"|""|""|""|""|"ISTANBUL"|""|""|"20250317"|"SMB"|""|"No"|""
"TR3012"|"PFO-12425-1U"|"0902"|""|"HCS"|"PFO-12425-1U"|"24 Port Duplex LC Patch Panel Modulu Bos"|"24 Port Duplex LC Patch Panel Modulu Bos"|"Patch Panel"|"Fiber Optik Patch Pa"|""|"TR"|"2025-03-17"|"1"|"329.9"|"No"|"TRY"|"TR"|""|""|""|""|"ISTANBUL"|""|""|"20250317"|"SMB"|""|"No"|""
"TR3012"|"U94-04841-DR7-FA06"|"0901"|""|"HCS"|"U94-04841-DR7-FA06"|"48 Fiberli Paslanmaz Celik Zirhli Bina D"|"48 Fiberli Paslanmaz Celik Zirhli Bina D"|"Kablolar"|"Fiber Optik Kablo"|""|"TR"|"2025-03-17"|"360"|"11876.4"|"No"|"TRY"|"TR"|""|""|""|""|"ISTANBUL"|""|""|"20250317"|"SMB"|""|"No"|""
"TR3012"|"SW-SOTI-CLOUD"|"4108"|""|"ZEBRA"|"SW-SOTI-CLOUD"|"1 Month SOTI per device subscription pri"|"1 Month SOTI per device subscription pri"|"Yazilim ve Araclar ("|"Lisans (ARTIM)"|""|"TR"|"2025-03-17"|"1320"|"157358.92"|"No"|"TRY"|"TR"|""|""|""|""|"IZMIR"|""|""|"20250317"|"SMB"|""|"No"|""
"TR3012"|"Z1AE-ZT411-3C0"|"1901"|""|"ZEBRA"|"Z1AE-ZT411-3C0"|"Zebra Licence ZT411, ZT411R, 3 Years"|"Zebra Licence ZT411, ZT411R, 3 Years"|"Destek, kurulum vb."|"Destek, kurulum vb."|""|"TR"|"2025-03-17"|"2"|"21198.32"|"No"|"TRY"|"TR"|""|""|""|""|"KAHRAMANMARAS"|""|""|"20250317"|"Corparate Reseller"|""|"No"|""
"TR3012"|"R6P67A"|"2816"|""|"HPE"|"R6P67A"|"AP-POE-ATSR 1P SR 802.3at 30W Midspan"|"AP-POE-ATSR 1P SR 802.3at 30W Midspan"|"Anahtar (Switch)"|"Aksesuar"|""|"TR"|"2025-03-17"|"1"|"3120.49"|"No"|"TRY"|"TR"|""|""|""|""|"BURSA"|""|""|"20250317"|"Corparate Reseller"|""|"No"|""
"TR3012"|"776620-001"|"1805"|""|"HPI SPARE"|"776620-001"|"SPS-150W ADPTR PFC SMART 4.5mm SLIM"|"SPS-150W ADPTR PFC SMART 4.5mm SLIM"|"Notebook Parcalari"|"Adaptor (ARTIM)"|""|"TR"|"2025-03-17"|"1"|"2378.87"|"No"|"TRY"|"TR"|""|""|""|""|"BURSA"|""|""|"20250317"|"Corparate Reseller"|""|"No"|""
"TR3012"|"CON-SNT-P8MUN2M0"|"2810"|""|"CISCO"|"CON-SNT-P8MUN2M0"|"CP-8821-K9-BUN 1 YILLIK SNT"|"CP-8821-K9-BUN 1 YILLIK SNT"|"Servis Paketi"|"Servis Paketi"|""|"TR"|"2025-03-17"|"2"|"5105.41"|"No"|"TRY"|"TR"|""|""|""|""|"ISTANBUL"|""|""|"20250317"|"SMB"|""|"No"|""
"TR3012"|"CON-SNT-AIR2IEK9"|"2810"|""|"CISCO"|"CON-SNT-AIR2IEK9"|"AIR-AP1832I-E-K9 1 YILLIK SNT"|"AIR-AP1832I-E-K9 1 YILLIK SNT"|"Servis Paketi"|"Servis Paketi"|""|"TR"|"2025-03-17"|"2"|"2523.73"|"No"|"TRY"|"TR"|""|""|""|""|"ISTANBUL"|""|""|"20250317"|"SMB"|""|"No"|""
"TR3012"|"CR357-67015"|"1810"|""|"HPI SPARE"|"CR357-67015"|"T920/Tx500 Module Motor Valves"|"T920/Tx500 Module Motor Valves"|"Yazici Parcalari"|"Inkjet/Deskjet (ARTI"|""|"TR"|"2025-03-17"|"3"|"2421.49"|"No"|"TRY"|"TR"|""|""|""|""|"ANTALYA"|""|""|"20250317"|"SMB"|""|"No"|""
"TR3012"|"SFP-10G-SR-S="|"2816"|""|"CISCO"|"SFP-10G-SR-S="|"10GBASE-SR SFP Module, Enterprise-Class"|"10GBASE-SR SFP Module, Enterprise-Class"|"Anahtar (Switch)"|"Modul"|""|"TR"|"2025-03-17"|"2"|"21369.57"|"No"|"TRY"|"TR"|""|""|""|""|"IZMIR"|""|""|"20250317"|"Corparate Reseller"|""|"No"|""
"TR3012"|"E94-01213-DR7FA-9"|"0901"|""|"HCS"|"E94-01213-DR7FA-9"|"12 Core Zirhli SLT SM G652D Tek Kilif"|"12 Core Zirhli SLT SM G652D Tek Kilif"|"Kablolar"|"Fiber Optik Kablo"|""|"TR"|"2025-03-17"|"2003"|"25698.49"|"No"|"TRY"|"TR"|""|""|""|""|"ISTANBUL"|""|""|"20250317"|"SMB"|""|"No"|""
"TR3012"|"E94-01213-DR7FA-8"|"0901"|""|"HCS"|"E94-01213-DR7FA-8"|"12 Core Zirhli SLT SM G652D Tek Kilif"|"12 Core Zirhli SLT SM G652D Tek Kilif"|"Kablolar"|"Fiber Optik Kablo"|""|"TR"|"2025-03-17"|"1048"|"13445.84"|"No"|"TRY"|"TR"|""|""|""|""|"ISTANBUL"|""|""|"20250317"|"SMB"|""|"No"|""
"TR3012"|"H6A-00432-DP5-FA00"|"0901"|""|"HCS"|"H6A-00432-DP5-FA00"|"Cat6A U/FTP LSOH Kablo 500m Beyaz"|"Cat6A U/FTP LSOH Kablo 500m Beyaz"|"Kablolar"|"FTP Kablo"|""|"TR"|"2025-03-17"|"2"|"19060.96"|"No"|"TRY"|"TR"|""|""|""|""|"ISTANBUL"|""|""|"20250317"|"SMB"|""|"No"|""
"TR3012"|"Z1AE-ZD6X1-3C0"|"1901"|""|"ZEBRA"|"Z1AE-ZD6X1-3C0"|"Zebra OneCare Essential 3 Years ZD6X1"|"Zebra OneCare Essential 3 Years ZD6X1"|"Destek, kurulum vb."|"Destek, kurulum vb."|""|"TR"|"2025-03-17"|"3"|"8803.3"|"No"|"TRY"|"TR"|""|""|""|""|"ISTANBUL"|""|""|"20250317"|"SMB"|""|"No"|""
"TR3012"|"1470G2D-2USB-1-R"|"4101"|""|"HONEYWELL"|"1470G2D-2USB-1-R"|"Omni-directional, 1D, PDF, 2D, black sca"|"Omni-directional, 1D, PDF, 2D, black sca"|"Barkod Okuyucular (A"|"Karekod Okuyucu (ART"|""|"TR"|"2025-03-17"|"1000"|"1761124.8"|"No"|"TRY"|"TR"|""|""|""|""|"ISTANBUL"|""|""|"20250317"|"SMB"|""|"No"|""
"TR3012"|"ZD4A042-30EE00EZ"|"4103"|""|"ZEBRA"|"ZD4A042-30EE00EZ"|"Thermal Transfer Printer (74/300M) ZD421"|"Thermal Transfer Printer (74/300M) ZD421"|"Barkod Yazicilar (AR"|"RFID Yazicilar (ARTI"|""|"TR"|"2025-03-17"|"1"|"10452.89"|"No"|"TRY"|"TR"|""|""|""|""|"IZMIR"|""|""|"20250317"|"SMB"|""|"No"|""
"TR3012"|"H06-00402-DP0-FV00"|"0901"|""|"HCS"|"H06-00402-DP0-FV00"|"Cat6 U/UTP LS0H Kablo 500m Gri"|"Cat6 U/UTP LS0H Kablo 500m Gri"|"Kablolar"|"UTP Kablo"|""|"TR"|"2025-03-17"|"1"|"6053.72"|"No"|"TRY"|"TR"|""|""|""|""|"ISTANBUL"|""|""|"20250317"|"Corparate Reseller"|""|"No"|""
"TR3012"|"SS-CV-LT-SWITCH-1M"|"2815"|""|"ARISTA"|"SS-CV-LT-SWITCH-1M"|"CloudVision Lite SW Subscription License"|"CloudVision Lite SW Subscription License"|"Kablosuz Ag Urunu"|"Lisans"|""|"TR"|"2025-03-17"|"6"|"273883.41"|"No"|"TRY"|"TR"|""|""|""|""|"ISTANBUL"|""|""|"20250317"|"SMB"|""|"No"|""
"TR3012"|"SVC7050CX3-32S1MNB"|"2815"|""|"ARISTA"|"SVC7050CX3-32S1MNB"|"1 Month A-Care SW for 7050CX3-32S"|"1 Month A-Care SW for 7050CX3-32S"|"Kablosuz Ag Urunu"|"Lisans"|""|"TR"|"2025-03-17"|"2"|"282784.94"|"No"|"TRY"|"TR"|""|""|""|""|"ISTANBUL"|""|""|"20250317"|"SMB"|""|"No"|""
"TR3012"|"SVC7050SX3-48YC81M"|"2815"|""|"ARISTA"|"SVC7050SX3-48YC81M"|"1 Month A-Care SW for 7050SX3-48YC8"|"1 Month A-Care SW for 7050SX3-48YC8"|"Kablosuz Ag Urunu"|"Lisans"|""|"TR"|"2025-03-17"|"4"|"412194.36"|"No"|"TRY"|"TR"|""|""|""|""|"ISTANBUL"|""|""|"20250317"|"SMB"|""|"No"|""
"TR3012"|"SSCV-LT-G-SWITCH1M"|"2810"|""|"ARISTA"|"SSCV-LT-G-SWITCH1M"|"CloudVision Lite SW Subscription License"|"CloudVision Lite SW Subscription License"|"Servis Paketi"|"Servis Paketi"|""|"TR"|"2025-03-17"|"11"|"235998.15"|"No"|"TRY"|"TR"|""|""|""|""|"ISTANBUL"|""|""|"20250317"|"SMB"|""|"No"|""
"TR3012"|"SVC-720DT-48S-1MNB"|"2810"|""|"ARISTA"|"SVC-720DT-48S-1MNB"|"1 Month A-Care SW & for CCS-720DT-48S"|"1 Month A-Care SW & for CCS-720DT-48S"|"Servis Paketi"|"Servis Paketi"|""|"TR"|"2025-03-17"|"7"|"83876.28"|"No"|"TRY"|"TR"|""|""|""|""|"ISTANBUL"|""|""|"20250317"|"SMB"|""|"No"|""
"TR3012"|"SVC-7020TR-48-1M-N"|"2815"|""|"ARISTA"|"SVC-7020TR-48-1M-N"|"1 Month A-Care Software & NBD Hardware R"|"1 Month A-Care Software & NBD Hardware R"|"Kablosuz Ag Urunu"|"Lisans"|""|"TR"|"2025-03-17"|"4"|"201304.83"|"No"|"TRY"|"TR"|""|""|""|""|"ISTANBUL"|""|""|"20250317"|"SMB"|""|"No"|""
"TR3012"|"JL682A"|"2816"|""|"HPE"|"JL682A"|"Aruba IOn 1930 24G 4SFP+ Switch"|"Aruba IOn 1930 24G 4SFP+ Switch"|"Anahtar (Switch)"|"Web Managed"|""|"TR"|"2025-03-17"|"1"|"7886.29"|"No"|"TRY"|"TR"|""|""|""|""|"ISTANBUL"|""|""|"20250317"|"Corparate Reseller"|""|"No"|""
"TR3012"|"JL686B"|"2816"|""|"HPE"|"JL686B"|"Aruba IOn 1930 48G 4SFP+ 370W Sw"|"Aruba IOn 1930 48G 4SFP+ 370W Sw"|"Anahtar (Switch)"|"Web Managed"|""|"TR"|"2025-03-17"|"1"|"19990.82"|"No"|"TRY"|"TR"|""|""|""|""|"ISTANBUL"|""|""|"20250317"|"Corparate Reseller"|""|"No"|""
"TR3012"|"R4W02A"|"2815"|""|"HPE"|"R4W02A"|"Instant On AP22 (RW) Access Point"|"Instant On AP22 (RW) Access Point"|"Kablosuz Ag Urunu"|"Access Point"|""|"TR"|"2025-03-17"|"1"|"3594.68"|"No"|"TRY"|"TR"|""|""|""|""|"ISTANBUL"|""|""|"20250317"|"Corparate Reseller"|""|"No"|""
"TR3012"|"Z1AE-ZD6X1-5C0"|"1901"|""|"ZEBRA"|"Z1AE-ZD6X1-5C0"|"Zebra OneCare Essential 5 Years ZD6X1"|"Zebra OneCare Essential 5 Years ZD6X1"|"Destek, kurulum vb."|"Destek, kurulum vb."|""|"TR"|"2025-03-17"|"2"|"7410.48"|"No"|"TRY"|"TR"|""|""|""|""|"ISTANBUL"|""|""|"20250317"|"SMB"|""|"No"|""
"TR3012"|"CON-SNT-P3802EER"|"2810"|""|"CISCO"|"CON-SNT-P3802EER"|"AIR-AP3802E-E-K9 1 YILLIK SNT"|"AIR-AP3802E-E-K9 1 YILLIK SNT"|"Servis Paketi"|"Servis Paketi"|""|"TR"|"2025-03-17"|"5"|"11892.45"|"No"|"TRY"|"TR"|""|""|""|""|"ISTANBUL"|""|""|"20250317"|"SMB"|""|"No"|""
"TR3012"|"CON-SNT-ARAPIEK9"|"2810"|""|"CISCO"|"CON-SNT-ARAPIEK9"|"AIR-AP2802I-E-K9 1 YILLIK SNT"|"AIR-AP2802I-E-K9 1 YILLIK SNT"|"Servis Paketi"|"Servis Paketi"|""|"TR"|"2025-03-17"|"17"|"34822.79"|"No"|"TRY"|"TR"|""|""|""|""|"ISTANBUL"|""|""|"20250317"|"SMB"|""|"No"|""
"TR3012"|"CON-SNT-WSC298DL"|"2810"|""|"CISCO"|"CON-SNT-WSC298DL"|"WS-C2960X-48TD-L 1 YILLIK SNT"|"WS-C2960X-48TD-L 1 YILLIK SNT"|"Servis Paketi"|"Servis Paketi"|""|"TR"|"2025-03-17"|"4"|"41230.59"|"No"|"TRY"|"TR"|""|""|""|""|"ISTANBUL"|""|""|"20250317"|"SMB"|""|"No"|""
"TR3012"|"CON-SNT-WSC296XL"|"2810"|""|"CISCO"|"CON-SNT-WSC296XL"|"WS-C2960X-48FPD-L 1 YILLIK SNT"|"WS-C2960X-48FPD-L 1 YILLIK SNT"|"Servis Paketi"|"Servis Paketi"|""|"TR"|"2025-03-17"|"2"|"29469.81"|"No"|"TRY"|"TR"|""|""|""|""|"ISTANBUL"|""|""|"20250317"|"SMB"|""|"No"|""
"TR3012"|"CON-SNT-AR02EK9C"|"2810"|""|"CISCO"|"CON-SNT-AR02EK9C"|"AIR-AP2802I-E-K9C 1 YILLIK SNT"|"AIR-AP2802I-E-K9C 1 YILLIK SNT"|"Servis Paketi"|"Servis Paketi"|""|"TR"|"2025-03-17"|"1"|"1783.96"|"No"|"TRY"|"TR"|""|""|""|""|"ISTANBUL"|""|""|"20250317"|"SMB"|""|"No"|""
"TR3012"|"PM1W-GR"|"2509"|""|"APC"|"PM1W-GR"|"Schneider Tekli Akim Korumali Priz"|"Schneider Tekli Akim Korumali Priz"|"Kesintisiz Guc Kayna"|"Kesintisiz Guc Kayna"|""|"TR"|"2025-03-17"|"18"|"5490"|"No"|"TRY"|"TR"|""|""|""|""|"ISTANBUL"|""|""|"20250317"|"SMB"|""|"No"|""
"TR3012"|"ZD4A042-30EE00EZ"|"4103"|""|"ZEBRA"|"ZD4A042-30EE00EZ"|"Thermal Transfer Printer (74/300M) ZD421"|"Thermal Transfer Printer (74/300M) ZD421"|"Barkod Yazicilar (AR"|"RFID Yazicilar (ARTI"|""|"TR"|"2025-03-17"|"30"|"315108.78"|"No"|"TRY"|"TR"|""|""|""|""|"ISTANBUL"|""|""|"20250317"|"SMB"|""|"No"|""
"TR3012"|"ZD22042-T0EG00EZ"|"4103"|""|"ZEBRA"|"ZD22042-T0EG00EZ"|"Thermal Transfer Printer (74M) ZD220; St"|"Thermal Transfer Printer (74M) ZD220; St"|"Barkod Yazicilar (AR"|"RFID Yazicilar (ARTI"|""|"TR"|"2025-03-17"|"1000"|"4391760"|"No"|"TRY"|"TR"|""|""|""|""|"ISTANBUL"|""|""|"20250317"|"SMB"|""|"No"|""
"TR3012"|"ZD22042-D0EG00EZ"|"4103"|""|"ZEBRA"|"ZD22042-D0EG00EZ"|"Direct Thermal Printer ZD220; Standard"|"Direct Thermal Printer ZD220; Standard"|"Barkod Yazicilar (AR"|"RFID Yazicilar (ARTI"|""|"TR"|"2025-03-17"|"200"|"849073.6"|"No"|"TRY"|"TR"|""|""|""|""|"ISTANBUL"|""|""|"20250317"|"SMB"|""|"No"|""
"TR3012"|"DS2208-SR7U2100SGW"|"4101"|""|"ZEBRA"|"DS2208-SR7U2100SGW"|"DS2208-SR BLACK USB KIT: DS2208-SR00007Z"|"DS2208-SR BLACK USB KIT: DS2208-SR00007Z"|"Barkod Okuyucular (A"|"Barkod Okuyucu (ARTI"|""|"TR"|"2025-03-17"|"1000"|"1793302"|"No"|"TRY"|"TR"|""|""|""|""|"ISTANBUL"|""|""|"20250317"|"SMB"|""|"No"|""
